Título da Revista;ISSN;Homepage;Aims and Scope: ;Aims and Scope (translate);Área;Subárea;Sub-subárea;Indexador;JIF;Quartil JCR;SJR;SJR Best Quartile;H index;Índice h5
JOURNAL OF HYDROMETEOROLOGY;1525-755X;http://www.ametsoc.org/pubs/journals/jhm/;Aims and Scope: Published by American Meteorological Society. Focuses on scholarly research in the field of Journal of Hydrometeorology.;Aims and Scope: Published by American Meteorological Society. Focuses on scholarly research in the field of Journal of Hydrometeorology.;Outras / Não Classificado;Geral / Multidisciplinar;Patologia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20HYDROMETEOROLOGY&btnG=
JOURNAL OF HYPERBOLIC DIFFERENTIAL EQUATIONS;0219-8916;http://www.worldscinet.com/jhde/jhde.shtml;Aims and Scope: Published by World Scientific. Focuses on scholarly research in the field of Journal of Hyperbolic Differential Equations.;Aims and Scope: Published by World Scientific. Focuses on scholarly research in the field of Journal of Hyperbolic Differential Equations.;Outras / Não Classificado;Geral / Multidisciplinar;Clássicos;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20HYPERBOLIC%20DIFFERENTIAL%20EQUATIONS&btnG=
JOURNAL OF IBERIAN AND LATIN AMERICAN RESEARCH;1326-0219;https://www.tandfonline.com/toc/cjil20/current;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Iberian and Latin American Research.;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Iberian and Latin American Research.;Outras / Não Classificado;Geral / Multidisciplinar;Neurologia Clínica;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20IBERIAN%20AND%20LATIN%20AMERICAN%20RESEARCH&btnG=
JOURNAL OF IBERIAN AND LATIN AMERICAN STUDIES;1470-1847;https://www.tandfonline.com/toc/cjil20/current;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Iberian & Latin American Studies.;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Iberian & Latin American Studies.;Outras / Não Classificado;Geral / Multidisciplinar;Dermatologia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20IBERIAN%20AND%20LATIN%20AMERICAN%20STUDIES&btnG=
JOURNAL OF ICHTHYOLOGY;0032-9452;http://www.springerlink.com/content/119884;Aims and Scope: Published by Pleiades Publishing. Focuses on scholarly research in the field of Journal of Ichthyology.;Aims and Scope: Published by Pleiades Publishing. Focuses on scholarly research in the field of Journal of Ichthyology.;Outras / Não Classificado;Geral / Multidisciplinar;Sistema Cardíaco e Cardiovascular;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20ICHTHYOLOGY&btnG=
JOURNAL OF IMAGING INFORMATICS IN MEDICINE;2948-2925;;;;Outras / Não Classificado;Geral / Multidisciplinar;Lei;Web of Science;0,4;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20IMAGING%20INFORMATICS%20IN%20MEDICINE&btnG=
JOURNAL OF IMMIGRANT & REFUGEE STUDIES;1556-2948;https://www.tandfonline.com/toc/wimm20/current;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Immigrant & Refugee Studies.;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Immigrant & Refugee Studies.;Outras / Não Classificado;Geral / Multidisciplinar;Alergia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20IMMIGRANT%20%26%20REFUGEE%20STUDIES&btnG=
JOURNAL OF IMMUNOLOGICAL METHODS;0022-1759;https://www.journals.elsevier.com/journal-of-immunological-methods;;;Outras / Não Classificado;Geral / Multidisciplinar;Matemática Aplicada;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20IMMUNOLOGICAL%20METHODS&btnG=
JOURNAL OF IMMUNOTHERAPY;1524-9557;http://journals.lww.com/immunotherapy-journal/pages/default.aspx;;;Outras / Não Classificado;Geral / Multidisciplinar;Inteligência Artificial, Ciência da Computação, Ciência da Computação, Teoria e Métodos;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20IMMUNOTHERAPY&btnG=
JOURNAL OF IMPERIAL AND COMMONWEALTH HISTORY;0308-6534;http://www.tandfonline.com/action/journalInformation?journalCode=fich20;;;Outras / Não Classificado;Geral / Multidisciplinar;Abuso de substâncias;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20IMPERIAL%20AND%20COMMONWEALTH%20HISTORY&btnG=
JOURNAL OF INDIAN ASSOCIATION FOR CHILD AND ADOLESCENT MENTAL HEALTH;0973-1342;https://journals.sagepub.com/home/IAM;Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Journal of Indian Association for Child and Adolescent Mental Health.;Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Journal of Indian Association for Child and Adolescent Mental Health.;Outras / Não Classificado;Geral / Multidisciplinar;Alergia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INDIAN%20ASSOCIATION%20FOR%20CHILD%20AND%20ADOLESCENT%20MENTAL%20HEALTH&btnG=
JOURNAL OF INDIVIDUAL DIFFERENCES;1614-0001;http://www.hogrefe.com/periodicals/journal-of-individual-differences/;Aims and Scope: Published by Hogrefe Publishing Group. Focuses on scholarly research in the field of Journal of Individual Differences.;Aims and Scope: Published by Hogrefe Publishing Group. Focuses on scholarly research in the field of Journal of Individual Differences.;Outras / Não Classificado;Geral / Multidisciplinar;Reabilitação;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INDIVIDUAL%20DIFFERENCES&btnG=
JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY;1226-086X;https://www.journals.elsevier.com/journal-of-industrial-and-engineering-chemistry;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Industrial and Engineering Chemistry.;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Industrial and Engineering Chemistry.;Outras / Não Classificado;Geral / Multidisciplinar;Estudos Étnicos;Web of Science;1,3;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INDUSTRIAL%20AND%20ENGINEERING%20CHEMISTRY&btnG=
JOURNAL OF INDUSTRIAL AND MANAGEMENT OPTIMIZATION;1547-5816;http://rzblx1.uni-regensburg.de/ezeit/warpto.phtml?colors=7&jour%5Fid=81925;Aims and Scope: Published by American Institute of Mathematical Sciences. Focuses on scholarly research in the field of Journal of Industrial and Management Optimization.;Aims and Scope: Published by American Institute of Mathematical Sciences. Focuses on scholarly research in the field of Journal of Industrial and Management Optimization.;Outras / Não Classificado;Geral / Multidisciplinar;Lei;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INDUSTRIAL%20AND%20MANAGEMENT%20OPTIMIZATION&btnG=
JOURNAL OF INDUSTRIAL AND PRODUCTION ENGINEERING;2168-1015;https://www.tandfonline.com/toc/tjci21/current;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Industrial and Production Engineering.;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Industrial and Production Engineering.;Outras / Não Classificado;Geral / Multidisciplinar;Estudos Culturais;Web of Science;0,1;Q4;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INDUSTRIAL%20AND%20PRODUCTION%20ENGINEERING&btnG=
JOURNAL OF INDUSTRIAL ECOLOGY;1088-1980;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1530-9290;Aims and Scope: Published by Springer-Verlag. Focuses on scholarly research in the field of Journal of Industrial Ecology.;Aims and Scope: Published by Springer-Verlag. Focuses on scholarly research in the field of Journal of Industrial Ecology.;Outras / Não Classificado;Geral / Multidisciplinar;Neurologia Clínica, Neurociências;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INDUSTRIAL%20ECOLOGY&btnG=
JOURNAL OF INDUSTRIAL ECONOMICS;0022-1821;https://onlinelibrary.wiley.com/journal/14676451;Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Journal of Industrial Economics.;Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Journal of Industrial Economics.;Outras / Não Classificado;Geral / Multidisciplinar;Neurologia Clínica, Neurociências;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INDUSTRIAL%20ECONOMICS&btnG=
JOURNAL OF INDUSTRIAL INTEGRATION AND MANAGEMENT-INNOVATION AND ENTREPRENEURSHIP;2424-8622;https://www.worldscientific.com/worldscinet/jiim;Aims and Scope: Published by World Scientific. Focuses on scholarly research in the field of Journal of Industrial Integration and Management.;Aims and Scope: Published by World Scientific. Focuses on scholarly research in the field of Journal of Industrial Integration and Management.;Outras / Não Classificado;Geral / Multidisciplinar;Humanidades, Multidisciplinar;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INDUSTRIAL%20INTEGRATION%20AND%20MANAGEMENT-INNOVATION%20AND%20ENTREPRENEURSHIP&btnG=
JOURNAL OF INEQUALITIES AND SPECIAL FUNCTIONS;2217-4303;;Aims and Scope: Published by Ilirias Research Institute. Focuses on scholarly research in the field of Journal of Inequalities and Special Functions.;Aims and Scope: Published by Ilirias Research Institute. Focuses on scholarly research in the field of Journal of Inequalities and Special Functions.;Outras / Não Classificado;Geral / Multidisciplinar;História;Web of Science;0,2;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INEQUALITIES%20AND%20SPECIAL%20FUNCTIONS&btnG=
JOURNAL OF INFECTION AND CHEMOTHERAPY;1341-321X;https://www.journals.elsevier.com/journal-of-infection-and-chemotherapy;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Infection and Chemotherapy.;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Infection and Chemotherapy.;Outras / Não Classificado;Geral / Multidisciplinar;Negócios;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INFECTION%20AND%20CHEMOTHERAPY&btnG=
JOURNAL OF INFECTIOUS DISEASES;0022-1899;http://jid.oxfordjournals.org/;Aims and Scope: Published by Oxford University Press. Focuses on scholarly research in the field of The Journal of Infectious Diseases.;Aims and Scope: Published by Oxford University Press. Focuses on scholarly research in the field of The Journal of Infectious Diseases.;Outras / Não Classificado;Geral / Multidisciplinar;Urologia e Nefrologia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INFECTIOUS%20DISEASES&btnG=
JOURNAL OF INFORMATION & KNOWLEDGE MANAGEMENT;0219-6492;http://www.worldscinet.com/jikm/jikm.shtml;Aims and Scope: Published by World Scientific. Focuses on scholarly research in the field of Journal of Information & Knowledge Management.;Aims and Scope: Published by World Scientific. Focuses on scholarly research in the field of Journal of Information & Knowledge Management.;Outras / Não Classificado;Geral / Multidisciplinar;Saúde Ambiental e Ocupacional, Pública;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INFORMATION%20%26%20KNOWLEDGE%20MANAGEMENT&btnG=
JOURNAL OF INFORMATION & OPTIMIZATION SCIENCES;0252-2667;https://www.tandfonline.com/toc/tios20/current;Aims and Scope: Published by Taru Publications. Focuses on scholarly research in the field of Journal of Information and Optimization Sciences.;Aims and Scope: Published by Taru Publications. Focuses on scholarly research in the field of Journal of Information and Optimization Sciences.;Outras / Não Classificado;Geral / Multidisciplinar;Lei;Web of Science;0,3;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INFORMATION%20%26%20OPTIMIZATION%20SCIENCES&btnG=
JOURNAL OF INFORMATION ASSURANCE AND SECURITY;1554-1010;http://www.dynamicpublishers.com;Aims and Scope: Published by De Gruyter Poland Sp. z o.o.. Focuses on academic publications in Journal of Information Assurance and Security.;Aims and Scope: Published by De Gruyter Poland Sp. z o.o.. Focuses on academic publications in Journal of Information Assurance and Security.;Outras / Não Classificado;Geral / Multidisciplinar;Sistema Cardíaco e Cardiovascular;Web of Science;5,9;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INFORMATION%20ASSURANCE%20AND%20SECURITY&btnG=
JOURNAL OF INFORMATION SCIENCE;0165-5515;http://jis.sagepub.com/;Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Journal of Information Science.;Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Journal of Information Science.;Outras / Não Classificado;Geral / Multidisciplinar;Humanidades, Multidisciplinar, Ciência Política;Web of Science;0,4;Q4;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INFORMATION%20SCIENCE&btnG=
JOURNAL OF INFORMATION SCIENCE AND ENGINEERING;1016-2364;;Aims and Scope: Published by Asosiasi Penelitian dan Pengajar Ilmu Hukum Indonesia. Focuses on academic publications in International Journal of Information Engineering and Science.;Aims and Scope: Published by Asosiasi Penelitian dan Pengajar Ilmu Hukum Indonesia. Focuses on academic publications in International Journal of Information Engineering and Science.;Outras / Não Classificado;Geral / Multidisciplinar;Estudos de área;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INFORMATION%20SCIENCE%20AND%20ENGINEERING&btnG=
JOURNAL OF INFORMATION SYSTEMS;0888-7985;http://www.aaahq.org/ic/browse.htm;Aims and Scope: Published by American Accounting Association. Focuses on scholarly research in the field of Journal of Information Systems.;Aims and Scope: Published by American Accounting Association. Focuses on scholarly research in the field of Journal of Information Systems.;Outras / Não Classificado;Geral / Multidisciplinar;Humanidades, Multidisciplinar;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INFORMATION%20SYSTEMS&btnG=
JOURNAL OF INFORMATION TECHNOLOGY RESEARCH;1938-7857;http://www.igi-global.com/journals/details.asp?id=6913;Aims and Scope: Published by IGI Global Scientific Publishing. Focuses on scholarly research in the field of Journal of Information Technology Research.;Aims and Scope: Published by IGI Global Scientific Publishing. Focuses on scholarly research in the field of Journal of Information Technology Research.;Outras / Não Classificado;Geral / Multidisciplinar;Anestesiologia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INFORMATION%20TECHNOLOGY%20RESEARCH&btnG=
JOURNAL OF INFORMETRICS;1751-1577;http://www.journals.elsevier.com/journal-of-informetrics/;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Informetrics.;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Informetrics.;Outras / Não Classificado;Geral / Multidisciplinar;Anestesiologia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INFORMETRICS&btnG=
JOURNAL OF INNOVATION ECONOMICS & MANAGEMENT;2032-5355;http://www.cairn.info/revue-journal-of-innovation-economics.htm;Aims and Scope: Published by CAIRN.INFO. Focuses on scholarly research in the field of Journal of Innovation Economics & Management.;Aims and Scope: Published by CAIRN.INFO. Focuses on scholarly research in the field of Journal of Innovation Economics & Management.;Outras / Não Classificado;Geral / Multidisciplinar;Arte;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INNOVATION%20ECONOMICS%20%26%20MANAGEMENT&btnG=
JOURNAL OF INSECTS AS FOOD AND FEED;2352-4588;http://www.insectsasfoodandfeed.com;Aims and Scope: Published by Walter de Gruyter GmbH (Brill). Focuses on scholarly research in the field of Journal of Insects as Food and Feed.;Aims and Scope: Published by Walter de Gruyter GmbH (Brill). Focuses on scholarly research in the field of Journal of Insects as Food and Feed.;Outras / Não Classificado;Geral / Multidisciplinar;Teoria e Crítica Literária;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INSECTS%20AS%20FOOD%20AND%20FEED&btnG=
JOURNAL OF INSTITUTIONAL AND THEORETICAL ECONOMICS-ZEITSCHRIFT FUR DIE GESAMTE STAATSWISSENSCHAFT;0932-4569;http://www.mohr.de/jite;Aims and Scope: Published by Mohr Siebeck. Focuses on scholarly research in the field of Journal of Institutional and Theoretical Economics JITE.;Aims and Scope: Published by Mohr Siebeck. Focuses on scholarly research in the field of Journal of Institutional and Theoretical Economics JITE.;Outras / Não Classificado;Geral / Multidisciplinar;Matemática Aplicada, Matemática;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INSTITUTIONAL%20AND%20THEORETICAL%20ECONOMICS-ZEITSCHRIFT%20FUR%20DIE%20GESAMTE%20STAATSWISSENSCHAFT&btnG=
JOURNAL OF INSTITUTIONAL ECONOMICS;1744-1374;http://journals.cambridge.org/JOI;Aims and Scope: Published by Cambridge University Press. Focuses on scholarly research in the field of Journal of Institutional Economics.;Aims and Scope: Published by Cambridge University Press. Focuses on scholarly research in the field of Journal of Institutional Economics.;Outras / Não Classificado;Geral / Multidisciplinar;Matemática Aplicada, Matemática;Web of Science;0,2;Q4;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INSTITUTIONAL%20ECONOMICS&btnG=
JOURNAL OF INSTRUMENTATION;1748-0221;http://iopscience.iop.org/1748-0221/;Aims and Scope: Published by IOP Publishing. Focuses on scholarly research in the field of Journal of Instrumentation.;Aims and Scope: Published by IOP Publishing. Focuses on scholarly research in the field of Journal of Instrumentation.;Outras / Não Classificado;Geral / Multidisciplinar;Analítica, Nanociência e Nanotecnologia, Química;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INSTRUMENTATION&btnG=
JOURNAL OF INSURANCE ISSUES;1531-6076;;;;Outras / Não Classificado;Geral / Multidisciplinar;Analítica, Química;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INSURANCE%20ISSUES&btnG=
JOURNAL OF INTEGRAL EQUATIONS AND APPLICATIONS;0897-3962;http://rmmc.eas.asu.edu/jie/jie.html;Aims and Scope: Published by Rocky Mountain Mathematics Consortium. Focuses on scholarly research in the field of Journal of Integral Equations and Applications.;Aims and Scope: Published by Rocky Mountain Mathematics Consortium. Focuses on scholarly research in the field of Journal of Integral Equations and Applications.;Outras / Não Classificado;Geral / Multidisciplinar;Eletroquímica;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INTEGRAL%20EQUATIONS%20AND%20APPLICATIONS&btnG=
JOURNAL OF INTEGRATED DESIGN & PROCESS SCIENCE;1092-0617;https://content.iospress.com/journals/journal-of-integrated-design-and-process-science/;;;Outras / Não Classificado;Geral / Multidisciplinar;Analítica, Química;Web of Science;4,1;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INTEGRATED%20DESIGN%20%26%20PROCESS%20SCIENCE&btnG=
JOURNAL OF INTEGRATIVE MEDICINE-JIM;2095-4964;https://www.sciencedirect.com/journal/journal-of-integrative-medicine;;;Outras / Não Classificado;Geral / Multidisciplinar;Humanidades, Multidisciplinar;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INTEGRATIVE%20MEDICINE-JIM&btnG=
JOURNAL OF INTELLECTUAL DISABILITIES;1744-6295;http://jid.sagepub.com/;;;Outras / Não Classificado;Geral / Multidisciplinar;Educação e Pesquisa Educacional;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INTELLECTUAL%20DISABILITIES&btnG=
JOURNAL OF INTELLECTUAL PROPERTY LAW & PRACTICE;1747-1532;http://jiplp.oxfordjournals.org/;Aims and Scope: Published by Oxford University Press. Focuses on scholarly research in the field of Journal of Intellectual Property Law & Practice.;Aims and Scope: Published by Oxford University Press. Focuses on scholarly research in the field of Journal of Intellectual Property Law & Practice.;Outras / Não Classificado;Geral / Multidisciplinar;Hematologia;Web of Science;2,6;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INTELLECTUAL%20PROPERTY%20LAW%20%26%20PRACTICE&btnG=
JOURNAL OF INTELLIGENT & FUZZY SYSTEMS;1064-1246;http://www.iospress.nl/journal-of-intelligent-fuzzy-systems;;;Outras / Não Classificado;Geral / Multidisciplinar;Anestesiologia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INTELLIGENT%20%26%20FUZZY%20SYSTEMS&btnG=
JOURNAL OF INTENSIVE CARE MEDICINE;0885-0666;http://jic.sagepub.com/;;;Outras / Não Classificado;Geral / Multidisciplinar;Educação Especial;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INTENSIVE%20CARE%20MEDICINE&btnG=
JOURNAL OF INTER-ORGANIZATIONAL RELATIONSHIPS;2694-3980;https://www.tandfonline.com/toc/wjmc21/current;;;Outras / Não Classificado;Geral / Multidisciplinar;Matemática, Física;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INTER-ORGANIZATIONAL%20RELATIONSHIPS&btnG=
JOURNAL OF INTERDISCIPLINARY HISTORY;0022-1953;http://www.mitpressjournals.org/loi/jinh;;;Outras / Não Classificado;Geral / Multidisciplinar;Ciências e Serviços de Saúde, História;Web of Science;1,3;Q4;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INTERDISCIPLINARY%20HISTORY&btnG=
JOURNAL OF INTERDISCIPLINARY MATHEMATICS;0972-0502;https://www.tandfonline.com/toc/tjim20/current;Aims and Scope: Published by Taru Publications. Focuses on scholarly research in the field of Journal of Interdisciplinary Mathematics.;Aims and Scope: Published by Taru Publications. Focuses on scholarly research in the field of Journal of Interdisciplinary Mathematics.;Outras / Não Classificado;Geral / Multidisciplinar;História;Web of Science;0,4;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INTERDISCIPLINARY%20MATHEMATICS&btnG=
JOURNAL OF INTERGENERATIONAL RELATIONSHIPS;1535-0770;https://www.tandfonline.com/toc/wjir20/current;;;Outras / Não Classificado;Geral / Multidisciplinar;Gerenciamento;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INTERGENERATIONAL%20RELATIONSHIPS&btnG=
JOURNAL OF INTERNATIONAL ADVANCED OTOLOGY;1308-7649;http://www.advancedotology.org/eng/Anasayfa;;;Outras / Não Classificado;Geral / Multidisciplinar;Hematologia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INTERNATIONAL%20ADVANCED%20OTOLOGY&btnG=
JOURNAL OF INTERNATIONAL AND COMPARATIVE LAW;2313-3775;;;;Outras / Não Classificado;Geral / Multidisciplinar;Anestesiologia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INTERNATIONAL%20AND%20COMPARATIVE%20LAW&btnG=
JOURNAL OF INTERNATIONAL COMMERCE ECONOMICS AND POLICY;1793-9933;http://www.worldscientific.com/worldscinet/jicep;;;Outras / Não Classificado;Geral / Multidisciplinar;Oftalmologia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INTERNATIONAL%20COMMERCE%20ECONOMICS%20AND%20POLICY&btnG=
JOURNAL OF INTERNATIONAL CONSUMER MARKETING;0896-1530;https://www.tandfonline.com/toc/wicm20/current;;;Outras / Não Classificado;Geral / Multidisciplinar;Negócios, Finanças;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INTERNATIONAL%20CONSUMER%20MARKETING&btnG=
JOURNAL OF INTERNATIONAL DEVELOPMENT;0954-1748;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1328/;;;Outras / Não Classificado;Geral / Multidisciplinar;Gastroenterologia e Hepatologia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INTERNATIONAL%20DEVELOPMENT&btnG=
JOURNAL OF INTERNATIONAL DISPUTE SETTLEMENT;2040-3593;https://academic.oup.com/jids;;;Outras / Não Classificado;Geral / Multidisciplinar;Geriatria e Gerontologia;Web of Science;3,2;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INTERNATIONAL%20DISPUTE%20SETTLEMENT&btnG=
JOURNAL OF INTERNATIONAL EDUCATION IN BUSINESS;2046-469X;http://www.ojs.unisa.edu.au/index.php/JIEB/index;;;Outras / Não Classificado;Geral / Multidisciplinar;Psiquiatria;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INTERNATIONAL%20EDUCATION%20IN%20BUSINESS&btnG=
JOURNAL OF INTERNATIONAL MONEY AND FINANCE;0261-5606;http://www.journals.elsevier.com/journal-of-international-money-and-finance/;;;Outras / Não Classificado;Geral / Multidisciplinar;Saúde Ambiental e Ocupacional, Pública;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INTERNATIONAL%20MONEY%20AND%20FINANCE&btnG=
JOURNAL OF INTERNATIONAL SOCIETY OF PREVENTIVE AND COMMUNITY DENTISTRY;2231-0762;http://www.jispcd.org;;;Outras / Não Classificado;Geral / Multidisciplinar;Reabilitação;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=JOURNAL%20OF%20INTERNATIONAL%20SOCIETY%20OF%20PREVENTIVE%20AND%20COMMUNITY%20DENTISTRY&btnG=
