"Journal title","ISSN","Categorias","Indexador","Aims and Scope","Aims and Scope (translate)"
"Women","2673-4184","Women'S Studies, Public, Environmental & Occupational Health","Web of Science - ESCI","Subjects: Medicine, Psychology. Keywords: developmental/behavioral medicine, emergency medicine, infectious diseases, health service and health policy research, public health and epidemiology, disease prevention","Subjects: Medicine, Psychology. Keywords: developmental/behavioral medicine, emergency medicine, infectious diseases, health service and health policy research, public health and epidemiology, disease prevention"
"Women-A Cultural Review","0957-4042","Humanities, Multidisciplinary","Web of Science - ESCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Women a Cultural Review.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Women a Cultural Review."
"Women And Birth","1871-5192","Nursing, Obstetrics & Gynecology","Web of Science - SCIE, Web of Science - SSCI","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Women and Birth.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Women and Birth."
"Women & Criminal Justice","0897-4454","Criminology & Penology, Women'S Studies","Web of Science - SSCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Women & Criminal Justice.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Women & Criminal Justice."
"Women & Health","0363-0242","Public, Environmental & Occupational Health, Women'S Studies","Web of Science - SSCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Women & Health.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Women & Health."
"Women And Music-A Journal Of Gender And Culture","1090-7505","Music, Women'S Studies","Web of Science - ESCI","Aims and Scope: Mythologies, Feminist Theory and the Pleasures of Rock Music Criticism&quot;. Women and Music: A Journal of Gender and Culture. 12 (1): 56. doi:10.1353/wam","Aims and Scope: Mythologies, Feminist Theory and the Pleasures of Rock Music Criticism&quot;. Women and Music: A Journal of Gender and Culture. 12 (1): 56. doi:10.1353/wam"
"Women & Therapy","0270-3149","Psychology, Multidisciplinary, Women'S Studies","Web of Science - SSCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Women & Therapy.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Women & Therapy."
"Women In Sport And Physical Activity Journal","1063-6161","Sport Sciences, Women'S Studies","Web of Science - ESCI","Aims and Scope: Published by Human Kinetics. Focuses on scholarly research in the field of Women in Sport and Physical Activity Journal.","Aims and Scope: Published by Human Kinetics. Focuses on scholarly research in the field of Women in Sport and Physical Activity Journal."
"Womens Health","1745-5057","Obstetrics & Gynecology","Web of Science - ESCI","Women’s Health (WHE) is an open access, peer-reviewed international journal that focuses on all aspects of women's healthcare. WHE welcomes submiss...","Women’s Health (WHE) is an open access, peer-reviewed international journal that focuses on all aspects of women's healthcare. WHE welcomes submiss..."
"Womens Health Issues","1049-3867","Public, Environmental & Occupational Health, Women'S Studies","Web of Science - SSCI","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Women s Health Issues.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Women s Health Issues."
"Womens Health Nursing","3022-7666","Nursing","Web of Science - ESCI","Aims and Scope: Published by Korean Academy of Women's Health Nursing. Focuses on scholarly research in the field of Women s Health Nursing.","Aims and Scope: Published by Korean Academy of Women's Health Nursing. Focuses on scholarly research in the field of Women s Health Nursing."
"Womens Health Reports","2688-4844","Obstetrics & Gynecology","Web of Science - ESCI","Subjects: Gynecology and obstetrics, Public aspects of medicine. Keywords: women's healthcare, obstetrics, gynaecology, health promotion, developing countries","Subjects: Gynecology and obstetrics, Public aspects of medicine. Keywords: women's healthcare, obstetrics, gynaecology, health promotion, developing countries"
"Womens History Review","0961-2025","History","Web of Science - AHCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Women s History Review.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Women s History Review."
"Womens Reproductive Health","2329-3691","Public, Environmental & Occupational Health, Obstetrics & Gynecology, Women'S Studies","Web of Science - ESCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Women s Reproductive Health.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Women s Reproductive Health."
"Womens Studies-An Interdisciplinary Journal","0049-7878","Humanities, Multidisciplinary","Web of Science - AHCI","Aims and Scope: more broadly related to the fields of cultural studies, ethnic studies, and Africana studies. Women&#039,s studies courses are now offered in over seven hundred","Aims and Scope: more broadly related to the fields of cultural studies, ethnic studies, and Africana studies. Women&#039,s studies courses are now offered in over seven hundred"
"Womens Studies In Communication","0749-1409","Communication","Web of Science - ESCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Women s Studies in Communication.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Women s Studies in Communication."
"Womens Studies International Forum","0277-5395","Women'S Studies","Web of Science - SSCI","Aims and Scope: Women&#039;s Studies International Forum is a bimonthly peer-reviewed academic journal covering feminist research in the area of women&#039;s studies and other","Aims and Scope: Women&#039;s Studies International Forum is a bimonthly peer-reviewed academic journal covering feminist research in the area of women&#039;s studies and other"
"Womens Writing","0969-9082","Literature","Web of Science - ESCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Women s Writing.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Women s Writing."
"Wood And Fiber Science","0735-6161","Forestry, Materials Science, Paper & Wood, Textiles","Web of Science - SCIE","Aims and Scope: Published by Society of Wood Science and Technology. Focuses on scholarly research in the field of Wood and Fiber Science.","Aims and Scope: Published by Society of Wood Science and Technology. Focuses on scholarly research in the field of Wood and Fiber Science."
"Wood Material Science & Engineering","1748-0272","Materials Science, Paper & Wood","Web of Science - SCIE","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Wood Material Science and Engineering.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Wood Material Science and Engineering."
"Wood Research","1336-4561","Materials Science, Paper & Wood","Web of Science - SCIE","Aims and Scope: Published by Pulp and Paper Research Institute. Focuses on scholarly research in the field of Wood Research.","Aims and Scope: Published by Pulp and Paper Research Institute. Focuses on scholarly research in the field of Wood Research."
"Wood Science And Technology","0043-7719","Forestry, Materials Science, Paper & Wood","Web of Science - SCIE","Wood Science and Technology is a scientific journal dedicated to research and review papers across the entire field of wood material science and related ...","Wood Science and Technology is a scientific journal dedicated to research and review papers across the entire field of wood material science and related ..."
"Word & Image","0266-6286","Humanities, Multidisciplinary","Web of Science - AHCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Word & Image.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Word & Image."
"Word And Text-A Journal Of Literary Studies And Linguistics","2069-9271","Literary Theory & Criticism","Web of Science - ESCI","Word and Text - A Journal of Literary Studies and Linguistics (ISSN 2069-9271; ISSN-L electronic 2247-9163; DOI: 10.51865/JLSL) is an annual peer-reviewed international journal which ranges across critical theory, literary studies and criticism, cultural studies as well as linguistics. The journal is owned and sponsored by Universitatea Petrol-Gaze din PloieÈti. It publishes thematic issues containing articles, review articles and reviews in English, both by established scholars and young researchers, which explore a broad range of current issues in theory, criticism and linguistics in relation to literature, culture and language. There are no submission fees, publication fees or page charges for this journal. To submit an article, please check the procedure in the CFPs for each thematic","Word and Text - A Journal of Literary Studies and Linguistics (ISSN 2069-9271; ISSN-L electronic 2247-9163; DOI: 10.51865/JLSL) is an annual peer-reviewed international journal which ranges across critical theory, literary studies and criticism, cultural studies as well as linguistics. The journal is owned and sponsored by Universitatea Petrol-Gaze din PloieÈti. It publishes thematic issues containing articles, review articles and reviews in English, both by established scholars and young researchers, which explore a broad range of current issues in theory, criticism and linguistics in relation to literature, culture and language. There are no submission fees, publication fees or page charges for this journal. To submit an article, please check the procedure in the CFPs for each thematic"
"Word-Journal Of The International Linguistic Association","0043-7956","Linguistics","Web of Science - ESCI","Aims and Scope: WORD is a triannual academic journal of linguistics published by the International Linguistic Association. &quot;WORD, The Journal&quot;. International Linguistic","Aims and Scope: WORD is a triannual academic journal of linguistics published by the International Linguistic Association. &quot;WORD, The Journal&quot;. International Linguistic"
"Word Structure","1750-1245","Language & Linguistics","Web of Science - ESCI","Aims and Scope: Published by Edinburgh University Press. Focuses on scholarly research in the field of WORD Structure.","Aims and Scope: Published by Edinburgh University Press. Focuses on scholarly research in the field of WORD Structure."
"Wordsworth Circle","0043-8006","Poetry","Web of Science - AHCI","Aims and Scope: Published by The University of Chicago Press. Focuses on scholarly research in the field of The Wordsworth Circle.","Aims and Scope: Published by The University of Chicago Press. Focuses on scholarly research in the field of The Wordsworth Circle."
"Work Aging And Retirement","2054-4642","Industrial Relations & Labor, Psychology, Applied, Management","Web of Science - SSCI","Aims and Scope: statutory retirement age in different countries. In some contexts, the retirement age is the age at which a person is expected or required to cease work. It","Aims and Scope: statutory retirement age in different countries. In some contexts, the retirement age is the age at which a person is expected or required to cease work. It"
"Work-A Journal Of Prevention Assessment & Rehabilitation","1051-9815","Public, Environmental & Occupational Health","Web of Science - SSCI","Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of WORK A Journal of Prevention Assessment & Rehabilitation.","Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of WORK A Journal of Prevention Assessment & Rehabilitation."
"Work And Occupations","0730-8884","Industrial Relations & Labor, Sociology","Web of Science - SSCI","Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Work and Occupations.","Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Work and Occupations."
"Work And Stress","0267-8373","Psychology, Applied","Web of Science - SSCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Work & Stress.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Work & Stress."
"Work Employment And Society","0950-0170","Economics, Industrial Relations & Labor, Sociology","Web of Science - SSCI","Aims and Scope: Work, Employment &amp, Society is a peer-reviewed academic journal that publishes papers in the fields of sociology and industrial relations. It has been","Aims and Scope: Work, Employment &amp, Society is a peer-reviewed academic journal that publishes papers in the fields of sociology and industrial relations. It has been"
"Work Organisation Labour & Globalisation","1745-641X","Industrial Relations & Labor","Web of Science - ESCI","This journal is a home for articles which address issues relating to the changing international division of labour and the restructuring of work in a global knowledge-based economy.","This journal is a home for articles which address issues relating to the changing international division of labour and the restructuring of work in a global knowledge-based economy."
"Workplace-A Journal For Academic Labor","1715-0094","Industrial Relations & Labor","Web of Science - ESCI","Workplace is a refereed, open access journal published by a collective of scholars in critical higher education promoting a new dignity in academic work. Contributions are aimed at higher education workplace activism and dialogue on academic labor","Workplace is a refereed, open access journal published by a collective of scholars in critical higher education promoting a new dignity in academic work. Contributions are aimed at higher education workplace activism and dialogue on academic labor"
"Workplace Health & Safety","2165-0799","Nursing","Web of Science - SCIE, Web of Science - SSCI","Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Workplace Health & Safety.","Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Workplace Health & Safety."
"World","2673-4060","Economics, Political Science, Social Sciences, Interdisciplinary","Web of Science - ESCI","Subjects: Social Sciences. Keywords: sustainable policy, sustainable social sciences, sustainable business, circular economy, life-cycle management and thinking, social justice","Subjects: Social Sciences. Keywords: sustainable policy, sustainable social sciences, sustainable business, circular economy, life-cycle management and thinking, social justice"
"World Allergy Organization Journal","1939-4551","Allergy, Immunology","Web of Science - SCIE","Subjects: Immunologic diseases. Allergy. Keywords: asthma, clinical immunology, allergy, allergic diseases","Subjects: Immunologic diseases. Allergy. Keywords: asthma, clinical immunology, allergy, allergic diseases"
"World Archaeology","0043-8243","Archaeology","Web of Science - AHCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of World Archaeology.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of World Archaeology."
"World Art","2150-0894","Art","Web of Science - ESCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of World Art.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of World Art."
"World Bank Economic Review","0258-6770","Business, Finance, Development Studies, Economics","Web of Science - SSCI","Aims and Scope: The World Bank Group (WBG) is a family of five international organizations that make leveraged loans to developing countries. The group is the largest","Aims and Scope: The World Bank Group (WBG) is a family of five international organizations that make leveraged loans to developing countries. The group is the largest"
"World Bank Research Observer","0257-3032","Development Studies, Economics","Web of Science - SSCI","Aims and Scope: Published by Oxford University Press. Focuses on scholarly research in the field of The World Bank Research Observer.","Aims and Scope: Published by Oxford University Press. Focuses on scholarly research in the field of The World Bank Research Observer."
"World Cancer Research Journal","2372-3416","Oncology","Web of Science - ESCI","Subjects: Neoplasms. Tumors. Oncology. Including cancer and carcinogens. Keywords: cancer prevention, translational research, environment and cancer, lifestyle and cancer, basic cancer research, cancer survivorship","Subjects: Neoplasms. Tumors. Oncology. Including cancer and carcinogens. Keywords: cancer prevention, translational research, environment and cancer, lifestyle and cancer, basic cancer research, cancer survivorship"
"World Competition","1011-4548","Law","Web of Science - ESCI","Aims and Scope: Published by Kluwer Law International BV. Focuses on scholarly research in the field of World Competition.","Aims and Scope: Published by Kluwer Law International BV. Focuses on scholarly research in the field of World Competition."
"World Development","0305-750X","Development Studies, Economics","Web of Science - SSCI","Browse through a wide range of high-quality academic journals offered by Elsevier, including open access options, to enrich your research journey.","Browse through a wide range of high-quality academic journals offered by Elsevier, including open access options, to enrich your research journey."
"World Development Perspectives","2452-2929","Development Studies, Economics","Web of Science - ESCI","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of World Development Perspectives.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of World Development Perspectives."
"World Economy","0378-5920","Business, Finance, Economics, International Relations","Web of Science - SSCI","Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of World Economy.","Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of World Economy."
"World Electric Vehicle Journal","2032-6653","Engineering, Electrical & Electronic, Transportation Science & Technology","Web of Science - ESCI","Subjects: Electrical engineering. Electronics. Nuclear engineering, Transportation engineering. Keywords: electric vehicles, batteries, hybrid electric vehicles, power electronic subsystems, v2h & v2g power transmission","Subjects: Electrical engineering. Electronics. Nuclear engineering, Transportation engineering. Keywords: electric vehicles, batteries, hybrid electric vehicles, power electronic subsystems, v2h & v2g power transmission"
"World Englishes","0883-2919","Linguistics, Language & Linguistics","Web of Science - AHCI, Web of Science - SSCI","Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of World Englishes.","Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of World Englishes."
"World Journal For Pediatric And Congenital Heart Surgery","2150-1351","Cardiac & Cardiovascular System","Web of Science - ESCI","Aims and Scope: Published by SAGE Publications. Focuses on academic publications in World Journal for Pediatric and Congenital Heart Surgery.","Aims and Scope: Published by SAGE Publications. Focuses on academic publications in World Journal for Pediatric and Congenital Heart Surgery."
"World Journal Of Acupuncture-Moxibustion","1003-5257","Integrative & Complementary Medicine","Web of Science - ESCI","Subjects: Medicine. Keywords: acupuncture-moxibustion, traditional medicine, alternative and completive medicine, external treatment","Subjects: Medicine. Keywords: acupuncture-moxibustion, traditional medicine, alternative and completive medicine, external treatment"
"World Journal Of Biological Psychiatry","1562-2975","Psychiatry","Web of Science - SCIE","Aims and Scope: of journals in the field of psychiatry. Psychiatry journals generally publish articles with either a general focus (meaning all aspects of psychiatry","Aims and Scope: of journals in the field of psychiatry. Psychiatry journals generally publish articles with either a general focus (meaning all aspects of psychiatry"
"World Journal Of Cardiology","1949-8462","Cardiac & Cardiovascular System","Web of Science - ESCI","Aims and Scope: Published by Baishideng Publishing Group Co (World Journal of Cardiology). Focuses on scholarly research in the field of World Journal of Cardiology.","Aims and Scope: Published by Baishideng Publishing Group Co (World Journal of Cardiology). Focuses on scholarly research in the field of World Journal of Cardiology."
"World Journal Of Clinical Oncology","2218-4333","Oncology","Web of Science - ESCI","Aims and Scope: Published by Baishideng Publishing Group Co (World Journal of Clinical Oncology). Focuses on scholarly research in the field of World Journal of Clinical Oncology.","Aims and Scope: Published by Baishideng Publishing Group Co (World Journal of Clinical Oncology). Focuses on scholarly research in the field of World Journal of Clinical Oncology."
"World Journal Of Diabetes","1948-9358","Endocrinology & Metabolism","Web of Science - SCIE","Aims and Scope: Published by Baishideng Publishing Group Co (World Journal of Diabetes). Focuses on scholarly research in the field of World Journal of Diabetes.","Aims and Scope: Published by Baishideng Publishing Group Co (World Journal of Diabetes). Focuses on scholarly research in the field of World Journal of Diabetes."
"World Journal Of Emergency Medicine","1920-8642","Emergency Medicine","Web of Science - SCIE","Aims and Scope: Emergency medicine is the medical specialty concerned with the care of illnesses or injuries requiring immediate medical attention. Emergency physicians","Aims and Scope: Emergency medicine is the medical specialty concerned with the care of illnesses or injuries requiring immediate medical attention. Emergency physicians"
"World Journal Of Emergency Surgery","1749-7922","Emergency Medicine, Surgery","Web of Science - SCIE","As the only dedicated emergency surgery journal and one of the top journals in the field of emergency medicine, World Journal of Emergency Surgery is an ...","As the only dedicated emergency surgery journal and one of the top journals in the field of emergency medicine, World Journal of Emergency Surgery is an ..."
"World Journal Of Engineering","1708-5284","Engineering, Multidisciplinary","Web of Science - ESCI","Aims and Scope: Published by International Journal of Worldwide Engineering Research. Focuses on academic publications in International Journal of Worldwide Engineering Research.","Aims and Scope: Published by International Journal of Worldwide Engineering Research. Focuses on academic publications in International Journal of Worldwide Engineering Research."
"World Journal Of Entrepreneurship Management And Sustainable Development","2042-5961","Management","Web of Science - ESCI","Aims and Scope: Published by World Association for Sustainable Development (WASD). Focuses on scholarly research in the field of World Journal of Entrepreneurship Management and Sustainable Development.","Aims and Scope: Published by World Association for Sustainable Development (WASD). Focuses on scholarly research in the field of World Journal of Entrepreneurship Management and Sustainable Development."
"World Journal Of Gastroenterology","1007-9327","Gastroenterology & Hepatology","Web of Science - SCIE","Baishideng Publishing Group (BPG) publishes 47 peer-reviewed, open-access journals covering a broad range of topics in clinical medicine, as well as several topics in biochemistry and molecular biology, relevant to human health today.","Baishideng Publishing Group (BPG) publishes 47 peer-reviewed, open-access journals covering a broad range of topics in clinical medicine, as well as several topics in biochemistry and molecular biology, relevant to human health today."
"World Journal Of Gastrointestinal Endoscopy","1948-5190","Gastroenterology & Hepatology","Web of Science - ESCI","Aims and Scope: Journal of Gastrointestinal Endoscopy World Journal of Gastrointestinal Oncology World Journal of Gastrointestinal Pathophysiology World Journal of Gastrointestinal","Aims and Scope: Journal of Gastrointestinal Endoscopy World Journal of Gastrointestinal Oncology World Journal of Gastrointestinal Pathophysiology World Journal of Gastrointestinal"
"World Journal Of Gastrointestinal Oncology","1948-5204","Oncology, Gastroenterology & Hepatology","Web of Science - SCIE","Aims and Scope: Journal of Gastrointestinal Endoscopy World Journal of Gastrointestinal Oncology World Journal of Gastrointestinal Pathophysiology World Journal of Gastrointestinal","Aims and Scope: Journal of Gastrointestinal Endoscopy World Journal of Gastrointestinal Oncology World Journal of Gastrointestinal Pathophysiology World Journal of Gastrointestinal"
"World Journal Of Gastrointestinal Surgery","1948-9366","Gastroenterology & Hepatology, Surgery","Web of Science - SCIE","Aims and Scope: Published by Baishideng Publishing Group Co (World Journal of Gastrointestinal Surgery). Focuses on academic publications in World Journal of Gastrointestinal Surgery.","Aims and Scope: Published by Baishideng Publishing Group Co (World Journal of Gastrointestinal Surgery). Focuses on academic publications in World Journal of Gastrointestinal Surgery."
"World Journal Of Hepatology","1948-5182","Gastroenterology & Hepatology","Web of Science - ESCI","Aims and Scope: Therapeutics World Journal of Gastrointestinal Surgery World Journal of Hematology World Journal of Hepatology World Journal of Hypertension World Journal of Immunology","Aims and Scope: Therapeutics World Journal of Gastrointestinal Surgery World Journal of Hematology World Journal of Hepatology World Journal of Hypertension World Journal of Immunology"
"World Journal Of Mens Health","2287-4208","Andrology, Urology & Nephrology","Web of Science - SCIE","Subjects: Medicine, Diseases of the genitourinary system. Urology. Keywords: andrology, urology, men's health, sexual medicine, aging, hypogonadism","Subjects: Medicine, Diseases of the genitourinary system. Urology. Keywords: andrology, urology, men's health, sexual medicine, aging, hypogonadism"
"World Journal Of Microbiology & Biotechnology","0959-3993","Biotechnology & Applied Microbiology","Web of Science - SCIE","The journal publishes original research papers and review articles on all aspects of applied microbiology and microbial biotechnology. Since its foundation in ...","The journal publishes original research papers and review articles on all aspects of applied microbiology and microbial biotechnology. Since its foundation in ..."
"World Journal Of Nuclear Medicine","1450-1147","Radiology, Nuclear Medicine & Medical Imaging","Web of Science - ESCI","Subjects: Medical physics. Medical radiology. Nuclear medicine. Keywords: nuclear medicine, molecular imaging, general nuclear medicine, radionuclide therapy, molecular studies","Subjects: Medical physics. Medical radiology. Nuclear medicine. Keywords: nuclear medicine, molecular imaging, general nuclear medicine, radionuclide therapy, molecular studies"
"World Journal Of Oncology","1920-4531","Oncology","Web of Science - ESCI","World Journal of Oncology - Basic Research and Clinical Investigation","World Journal of Oncology - Basic Research and Clinical Investigation"
"World Journal Of Orthopedics","2218-5836","Orthopedics","Web of Science - ESCI","Aims and Scope: Neurology World Journal of Obstetrics and Gynecology World Journal of Ophthalmology World Journal of Orthopedics World Journal of Otorhinolaryngology World Journal","Aims and Scope: Neurology World Journal of Obstetrics and Gynecology World Journal of Ophthalmology World Journal of Orthopedics World Journal of Otorhinolaryngology World Journal"
"World Journal Of Otorhinolaryngology-Head & Neck Surgery","2095-8811","Otorhinolaryngology","Web of Science - ESCI","Subjects: Otorhinolaryngology, Surgery. Keywords: otorhinolaryngology, laryngology, neurolaryngology, rhinology, skull base surgery, otology","Subjects: Otorhinolaryngology, Surgery. Keywords: otorhinolaryngology, laryngology, neurolaryngology, rhinology, skull base surgery, otology"
"World Journal Of Pediatrics","1708-8569","Pediatrics","Web of Science - SCIE","Published monthly, the World Journal of Pediatrics offers peer-reviewed original papers, reviews and special reports focusing on clinical practice and ...","Published monthly, the World Journal of Pediatrics offers peer-reviewed original papers, reviews and special reports focusing on clinical practice and ..."
"World Journal Of Pediatric Surgery","2096-6938","Pediatrics, Surgery","Web of Science - ESCI","Subjects: Pediatrics, Surgery. Keywords: paediatric surgery, minimally invasive techniques, robotic surgery","Subjects: Pediatrics, Surgery. Keywords: paediatric surgery, minimally invasive techniques, robotic surgery"
"World Journal Of Plastic Surgery","2228-7914","Surgery","Web of Science - ESCI","World Journal of Plastic Surgery","World Journal of Plastic Surgery"
"World Journal Of Psychiatry","2220-3206","Psychiatry","Web of Science - SCIE","Aims and Scope: World Journal of Pharmacology World Journal of Psychiatry World Journal of Radiology World Journal of Respirology World Journal of Rheumatology World Journal","Aims and Scope: World Journal of Pharmacology World Journal of Psychiatry World Journal of Radiology World Journal of Respirology World Journal of Rheumatology World Journal"
"World Journal Of Radiology","1949-8470","Radiology, Nuclear Medicine & Medical Imaging","Web of Science - ESCI","Aims and Scope: Published by Baishideng Publishing Group Co (World Journal of Radiology). Focuses on scholarly research in the field of World Journal of Radiology.","Aims and Scope: Published by Baishideng Publishing Group Co (World Journal of Radiology). Focuses on scholarly research in the field of World Journal of Radiology."
"World Journal Of Stem Cells","1948-0210","Cell & Tissue Engineering, Cell Biology","Web of Science - SCIE","Aims and Scope: World Journal of Stem Cells World Journal of Stomatology World Journal of Surgical Procedures World Journal of Translational Medicine World Journal of Transplantation","Aims and Scope: World Journal of Stem Cells World Journal of Stomatology World Journal of Surgical Procedures World Journal of Translational Medicine World Journal of Transplantation"
"World Journal Of Surgery","1432-2323","Surgery","Web of Science - SCIE","As of January 1, 2024; World Journal of Surgery is published by John Wiley &amp; Sons, commonly known as Wiley Publishing.","As of January 1, 2024; World Journal of Surgery is published by John Wiley & Sons, commonly known as Wiley Publishing."
"World Journal Of Surgical Oncology","1477-7819","Oncology, Surgery","Web of Science - SCIE","World Journal of Surgical Oncology keeps readers up-to-date with the latest developments in oncology and allied subjects, influencing the work of all surgical ...","World Journal of Surgical Oncology keeps readers up-to-date with the latest developments in oncology and allied subjects, influencing the work of all surgical ..."
"World Journal Of Traditional Chinese Medicine","2311-8571","Integrative & Complementary Medicine, Medicine, Research & Experimental, Pharmacology & Pharmacy","Web of Science - ESCI","Subjects: Medicine (General). Keywords: chinese medicine, alternative medicine, intergrative medicine, herbal medicine","Subjects: Medicine (General). Keywords: chinese medicine, alternative medicine, intergrative medicine, herbal medicine"
"World Journal Of Urology","0724-4983","Urology & Nephrology","Web of Science - SCIE","World Journal of Urology is a comprehensive resource for developments in basic and clinical aspects of urology. It publishes essential results of urological ...","World Journal of Urology is a comprehensive resource for developments in basic and clinical aspects of urology. It publishes essential results of urological ..."
"World Leisure Journal","1607-8055","Hospitality, Leisure, Sport & Tourism","Web of Science - ESCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of World Leisure Journal.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of World Leisure Journal."
"World Literature Studies","1337-9275","Literature","Web of Science - AHCI","Central and Eastern European Online Library - CEE journals, documents, articles, periodicals, books available online for download, Zeitschrfitendatenbank, Online Zeitschriften, Online Zeitschriftendatenbank","Central and Eastern European Online Library - CEE journals, documents, articles, periodicals, books available online for download, journal database, online journals, online journal database"
"World Literature Today","0196-3570","Literature","Web of Science - AHCI","World Literature Today is an international literary magazine that publishes the best contemporary interviews, essays, poetry, fiction, and book reviews from around the world.","World Literature Today is an international literary magazine that publishes the best contemporary interviews, essays, poetry, fiction, and book reviews from around the world."
"World Medical & Health Policy","1948-4682","Public, Environmental & Occupational Health","Web of Science - ESCI","Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of World Medical & Health Policy.","Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of World Medical & Health Policy."
"World Mycotoxin Journal","1875-0710","Food Science & Technology, Mycology, Toxicology","Web of Science - SCIE","Aims and Scope: Published by Walter de Gruyter GmbH (Brill). Focuses on scholarly research in the field of World Mycotoxin Journal.","Aims and Scope: Published by Walter de Gruyter GmbH (Brill). Focuses on scholarly research in the field of World Mycotoxin Journal."
"World Neurosurgery","1878-8750","Clinical Neurology, Surgery","Web of Science - SCIE","Aims and Scope: World Neurosurgery is a monthly peer-reviewed medical journal that was established in 1973 as Surgical Neurology before obtaining its current name in 2010","Aims and Scope: World Neurosurgery is a monthly peer-reviewed medical journal that was established in 1973 as Surgical Neurology before obtaining its current name in 2010"
"World Neurosurgery-X","2590-1397","Clinical Neurology, Surgery","Web of Science - ESCI","Subjects: Surgery, Neurology. Diseases of the nervous system. Keywords: clinical neurosurgery, surgery, neurology","Subjects: Surgery, Neurology. Diseases of the nervous system. Keywords: clinical neurosurgery, surgery, neurology"
"World Of Medicine And Biology","2079-8334","Medicine, Research & Experimental","Web of Science - ESCI","Aims and Scope: in Medicine and Biology is a monthly peer-reviewed medical journal published by Elsevier on behalf of the World Federation for Ultrasound in Medicine and","Aims and Scope: in Medicine and Biology is a monthly peer-reviewed medical journal published by Elsevier on behalf of the World Federation for Ultrasound in Medicine and"
"World Of Music-New Series","0043-8774","Music","Web of Science - AHCI","Aims and Scope: Published by Equinox Publishing. Focuses on academic publications in Journal of World Popular Music.","Aims and Scope: Published by Equinox Publishing. Focuses on academic publications in Journal of World Popular Music."
